,text,mark
47,"['Талибаннан шекарасын  қорғай алмайдау деген ел бар олар Тәжікстан мен Туркменистан, Тәжікстан Ресейден көмек сұрады Егер шекараға басып кіретін болса Ресей көмектесеміз деп уәде берді, Ал Түрікменстан неитрал мемлекет Түркмен билігі қорққанынан Талибан басшыларымен келісім жүргізіп жатыр, Ал Өзбекстан Талибанды Террорлық ұйым деп танымаймыз байланыс орнату ға дайынбыз деп отыр, Талибан басшылары Орталық Азия ға шабуылдау ға жол берілмейді деп уәде берді, Оларға Ауғанстанда Ислами мемлекет құру бірінші мақсат болып тұр. ҚАЗАҚСТАН ОҒАН БАС ҚАТЫРМАСАДА БОЛАДЫ ІНІМ.']",0
48,['@Камал Бисенбаев Арабтар. Каржы жагынан комектесип жаткан соларау'],0
49,['Терроризмді тудырып жатқан кімдер.'],0
50,['Талибан сенде шаруасы жоқ Кабулды алса болды оларға'],0
51,['Қытай экспанциясы дұрыспа?'],0
52,['Талибан Ауған халқы ғо бүкіл халықты қырып жібере алмайды ғо ойлансиш кішкене басың болса'],0
53,['Бұны кәпірлер істеп жатыр ислам дінін жаман жағынан көрсету'],0
54,['Бұның бәрі политика ғой әдейі істелетін әрекеттер мұсылман дінін құрту мұсылман дінін жаман жағынан көрсету үшін ақштың істеген тірліктері әдейі көмек береді талиптерге'],0
55,"['1979 дан бері соғыс болып келе жатыр ауғанстанда,  бірінші кеңес әскері кірді, кеңес әскері 1989 да шықты, араға 11 жыл салып,  НАТО кірді, Мысалы бұрын кеңес әскері Душман дейтін, кәзіргі Тәлиб яғни оқушы деген мағына береді, еш нәрсе өзгермеді, аты ғана өзгермесе, сол діни оппозици, яғни ауған қозғалысы,  олар басқа мемлекеттерді басып кіріп жатқан жоқ, өз жерінде соғысып жатыр,  Басып кіріп жатқан алпауыт елдер, менің өзім 1987 - 89 да әскерде болдым ғой, аздап шет жағасын білеміз, ол жерге кірген кеңес әскерлері, онан қалса натоның әскерлері, ауған қышлақтарын тазалағанда, не істегенін білмейтін шығарсыңдар, Сондықтан ол жерде азамат соғысы тоқтауы қиын, Мысалы ауғанстанда және пакистанда пуштун деген тәжікке жақын парсы тілдес халық бар саны дүние жүзі бойынша 42 миллион, соның 28 миллионы пакистанда тұрады, қалған 2 миллионы алыс шет елдерде шашырап кеткен қалған,  ауғанстанда 12 миллион, сондықтан талибтерді пакистан қолдайды, ал пакистан ядролық державо, онан басқа ауғанстан территориясында 14 миллион тәжік, 3 миллион өзбек,, 700 мың қырғыз, 4 миллион хазара, 1 миллион түркімен тұрады, аздап Қазақтар бар, ауғанстан жері,  таяу шығыстағы сирия және ирак сияқты  полигон ресей мен натоның қару сынақтары жүретін,  ресей кірсе америка ресейге қарсы жергілікті партизандарды қаруландырады,  америка кірсе ресей бер жағынан американы жамандайды,  бұл саясат алпауыт елдердің ойыны, ал талибтерді құртып жіберетіндей, олар бір жәндік емес қой,  хайуан екеш хайуандыда өлтірсең сұрауы болады, бізде көбісі  сол баяғы ресей мен батыстық көзқараспен ойлайды, естеріңде болсын ақ нәсілділер үшін сен екінші сортсың,  сондықтан ауғанстан,  сирия,  ирак, сияқты шығыс елдері жәй полигон, ол жерлеиде алпауыт елдерге бағынышты қуыршақтар  отыр, оларға қарсы шыққан халықтың бәрі террорист, өйткені мұсылмандарда әсіресе арабтарда ауызбіршілік жоқ,  сирияда кремльдің қуыршақ патшасы отыр,  иракта Саддам өлген соң,  американың қол шоқпарлары шиитер билікте,  ливия Муаммар Каддафи өлген соң үшке бөлініп қырылысып жатыр, сомалиде, теңізге мұнай қалдықтарын тастауға қарсы шыққан, бас көтерер қара нәсілді теңіз қарақшыларын,  жан жақтан жабылып тас талқанын шығарды,, ауғанстанды айтпай ақ түсінікті, кәзір бас көтерер пакистан мен түркия,  ал арабтарға сенім жоқ, Бізге біртіндеп Тұран одағын құру керек, қытай жаулауына және империшыл ресейге қарсы тұру үшін,  қайдағы ауғанстан  жеріндегі тәлибтерден құбыжық көргендей қорықпай, тәлібтер қауып төндіреді тәжікстанның кремльге бағынышты Рахмонов сияқты диктаторлық режиміне, тәжік пен ауған кезінде бір мемлекет болған,  ағылшындар мен орыстар бөліп алған,  Ал кәзіргі сәтте біздің жағыдайға келсек, сен ақ нәсілділер мен қытай үшін ешкім емессің,  сенің жер асты байлығың ғана керек,  өтірік мақтап қояды, олар үшін сен екінші сорттағы қауқарсыз бишарасың. Жарайды түсінеміз баяғы кеңес үкіметінің идиологиясы мүлдем өзгеше мықты болған, өйткені бізге қатысы жоқ соғысқа ұл қыздарымызға дейін кетіп қалған, Кәзірде сол сырттан елдерінен тарап жатқан келген теріс ағымдар, ұл қызарымыздың миын улап жатыр, сәл ойланып оянатын кез жетті, Пктин мен батыс бір біріне конкурент, Путин орта азияны уысынан шығарып алғысы келмейді, ертең тәлибтер тәжікстанға кіретін болса, Эмомали Рахмоновқа көмектеседі, сөйтіп ауғанстан жерін қайтадан бомбаның астына алады, Сирияңда солай болды ғой, Башар Асад Путиннің көмегімен,  өз жеріндегі, оппозицияны 8 жылда қырып салды, әуеден бомбалап 3- мың жылдық тарихы бар қалаларды жермен жексен қылды, ресейгеде сенуге болмайды, арабтарғада сенім жоқ, бізге өзімізге бауырлас түркі халықтарымен одақ құрып,  қару жарағымызды әскерімізді күшейту керек.']",0
56,['Адейы ыстеп отыр средний азияга кырсе талибтер и патом сша келып комектесед и абыройын котерып алад'],0
57,['Керемет жауап 👍👍'],0
58,['Ондайды айтпайдыгой'],0
59,['Вахабит пен тəліптің он қайнаса да сорпасы қосылмайды.'],0
60,"['1979 дан бері соғыс болып келе жатыр ауғанстанда,  бірінші кеңес әскері, кеңес әскері 1989 да шықты, араға 11 жыл салып,  НАТО кірді, ал ауған партизандары басқа мемлекеттерді басып кіріп жатқан жоқ, өз жерінде соғысып жатыр,  Басып кіріп жатқан алпауыт елдер, білмесеңдер диванда жатып алып тон пішпеңдер,  ол жер полигон алпауыт елдер үшін қару сынақтары  жүретін, сирия және  ирак  сияқты.']",0
61,['Ссср гой'],0
62,['@DESHTI KIPSHAK Ауганстанди басып алгансын военный казармалардан алмаима оруже россия саганда маганда сатади оруже завод бар заказ берсен танкада жасап береди'],0
63,"['Амандық. Ауғанстанда және пакистанда пуштун деген парсы тілдес халық бар саны дүние жүзі бойынша 42 миллион, соның 28 миллионы пакистанда тұрады, қалған 2 миллионы алыс шет елдерде шашырап кеткен қалған,  ауғанстанда 12 миллион, сондықтан талибтерді пакистан қолдайды, ал онан басқа территориясында 14 миллион тәжік, 3 миллион өзбек,, 700 мың қырғыз, 4 миллион хазар, 1 миллион түркімен тұрады, және Қазақтар бар, Ең алғашқы болып 1979 жылы кеңес әскері кірді,  ол кезде ауған партизандарын Душман дейтін,  1989 ншы жылы кеңес әскері шықты. 1996 ншы үкімет Талибан қозғалысының қолына өтті, Талиб деген кәдімгі оқушы деген мағына береді,  ал кеңес дәуіріндегі душман, немесе моджахед,  кәзіргі талибтер,  бәрі бір қозғалыс,  яғни алпауыт мемлекеттердің басқыншыларына қарсы,  солардың қуыршақ билігіне қарсы шариғат  революциянерлері, кремльдің тілімен сөйлегенде содырлар дейді,  яғни Путиннің тілімен айтқанда, сирия ирак ауғанстан жеріндегі, ресейге және басқағада қатысыда жоқ  ислам оппозициясының бәрін,  ресейде тиым салынған жанкешті ұйым дегендей.']",0
64,['@DESHTI KIPSHAK  Қытай мен Түркия бұрыннан арласатын еді \nПакистан Кытай екеуы Ауғанстан га кару бырып отырады \nПакистан оз елін ауганыстанын содырларын дайындап шығарады АкШ ка карсы шыканда еліне жасырады сол себепті олар алы талип атымен жур'],0
65,"['@DESHTI KIPSHAK Негізі Ауғанға ,СССР бірінші болып кірді.Оған қарсы АҚШ тәліптерді қаруландырды.']",0
66,['Негізі   барлық   соғыстың   артында   бірінші   АҚШ     сосын   ресей   тұрады.   Тәлібтердегі  Соншама  қару   мен  оқ дәрі   қайдан кеп  жатыр  ?  Көбісі   ресейден алған   қарулар.   Енді  бұндай  әлемдегі  Соғыстарға  Қытай  мен  Түркияда  белсене    араласа   бастады .'],0
67,"['Тәліп деген \n\nТәліп –\xa0«ізденуші, талап етуші; үйренуші, студент».\nяғшни Ауған жастарынан құралған ұйым, Мақсаты Кәпірлік жүйеге қарсы тұру ,Ислам негізінде өмір сүру, Сатқын мұсылмандарды жазалау. Ауған халқының көбі Тәліп ұйымын өздеріне құтқарушы деп біледі осы себебтен тәліптердің көзін СССР де АҚШ та құрта алмай отыр ,1979 -1989 Ауғандағы соғыс та СССР аскері 2 Миллионға жуық халықты қырғынға ұшыратты, 2001-2021 Ақш 2001 жылы негіссіз сылтаумен Ауғанстанға өз аскері мен Нато аскерін кіргізіп онымен қоса Ирактың да күл талқанын шығарды.\n2011 де Сириядағы соғыстыда астыртын АҚШ пен Ресей жасап отыр , ДАЙШ (ИГИЛ) ді де АҚШ билігі өздері қолдан жасап Сирияның да күл талқанын шығарды , Миллионға жуық адам өлтірілді.']",0
68,['Оқысан білесін.'],0
