tokens,metka
ке авганист паранджадағ бурка емес хиджаб болғандықт әйел өл тасп ұрд нелю атеист на их руках кровь многих невинноубиенных и они перед құ ответят за то что убивали и мучали людей ием жазық адамдард құ адамдард сақтаңыз жә құтқарыңыз ,0.92
мұның бәр жергі орыс ойлап табад жә жериновский олард біле ,1.0
жырт өздерінің қатыгездіг көрсет над жануар біз жырт ,1.0
ауғанст халқ көтеріл талиб бандит жерд қу шығу керек жануар адам емес садист өлтірг ,0.98
сирия армияс соғысуд ал тас isis қару сатад ,0.9665
тұр қосылс құ мәскеу барад иншааллах ,0.98
кедей ер адам олард өлтіре жануар қан ер адам үш ,0.965
айтыңызш не істеуі керек он өлтіре ме біз не істеуі керек ,0.8677142857142855
ой азғырылад немесе күшп бұйырад ештеңе көр өте ақылд адам бір нәрсе дайындал жатқ өзіңіз ,0.9338671274961599
ресей солтүс қазақстанд жаулап алу жоспар аяқталмайд ағайынд кандагар ойланайық ойланайық ,1.0
біз соғыст бас керек омбыд бастап жері ал кетуі керек ,1.0
сіз т иіс сезе ал орыс иі ,1.0
бұл қылмыс жә халифат жоқ әлемнің қылмыскерлері бір жер жиналд ия әри қателеск с аз болу мүмк әри егер жұмыс істесе олард құтқару керек қалғ жойылу керек ,0.9633333333333333
нағыз ислам зор зомб қарс жә нағыз мұсылм өте да жә шынай адам омб мешіт адамдарм кездест хрис болсам да аула жақс сөйлес ,0.9823529411764705
мен ташкент тумас ташкенттегі орыс ме бір жер қысад ол алмат келг орыс қатт ашуланд орынд білу керек әсіресе орыс әйелдері адинм қазақ сөйлесе алам ба түсінбейм мен не панимаеш дед сіз мұн көп жыл өмір сүрдіңіз тіл біл қысқас ой соң орыс әйел ұрыс қалд ақымақ өздері ұлт емес сыз қоя пусть біле ор мен көп кір шашыратпайм өзі қамқор жасайық журетин мысықт қысс ,0.97
болмайд кездесет қызб болад насиловать жә өлтіру олар ел ештеңе болғ жоқ им тереторияс ештеңе болмад ,0.9868888888888888
ақш пен ағылш үкі қаржыландырад яғни террорис діни ислам жасау топ құрд алла тағала сіз жазалайд ,0.85
олар бе айқайламайд біз қарул қазақ с көбейту керек путиннің өзі бізб сөйлесіңіз сіз ш не кү шатас кет он басш қорықпайд ,1.0
иг өте қау демократия кез келг моральд жоқ шығарса да мораль негіздері бір бірі жойылад жойылу жол бола алат жалғыз күш бұл им дін мораль тасымалдаушыс ,0.9765277777777777
бар түркі ха ердоғ бастағ түркиядағ бір ту аст бірігуі тиіс ,0.9840000000000001
ат зат бұр орыс жақс деп айт жер қол бөл ме ,1.0
ишим іс әрекет исламист мұсылм жә байланыст нәрсе жиіркеніш тудырад бұл isis тің баст мақсат не ,1.0
кез келг душ арналғ гель согрешающая умрет бар адам өлуі керек мәсіх таңдағ сену өл көр с бол адам покайся жә крестись құ бойтұмар ,1.0
ақ құлақ не де біз орыс жер берг шығар казак орыс шош өмір сүрет еді казак көз ашт ,1.0
әр ешкі ақ кез көшбасш болғыс келе сондықт ауғанст әлем болмайд би бір партияның қол болу керек наджибулла ком партиясының ж социолизм құрғыс кел он алғ жоқ ен бас бастап бар маджахед талиб социодист анархист жә т б кет барлығ алла се жә би пен ақш ашкөздей ,0.99
сіз ресей әжем емес әже де орыстард құрмет деп ай қойш орыс ек айтт орыс не ойлағ жасад орыс өмір сүру қалайд жә т б мен қазір алпыс жас орыс дәуірі қызғ кез күлг кел әже орыс тіл жол құрмет біз ауыл неміс болд көп естід ,1.0
қысқас түркиям одақ соғыс дайындалу жә құру керек әлем хабард ел жеткізе ,0.98
ен би өзара күресе ауғанст бейбіт болмайд осыд олард қалай атау болад мулл өл жә қара адамд өлтіру білдіре ,0.9836004273504274
адам өздері террорист бола алмайд оларм психолог жұмыс істей көз көру міндет ,0.75
түрік біріг ақ құлақтард орн қойс олар қару се жә күш болад жә біз бір құ се тамыр өл ,1.0
біз олард қан ор азия мәскеу көмег жоя ресей ксро мемле ,0.99
егер ел орыс ті жойылса ,1.0
кім сөйлей ойланбаст ауырсыну өле егер қан керек болса қ жеу дай ,0.9235555555555556
рейхстаг ту көтерг қазақ құ сақтас кремльдегі туд көтере ала ,1.0
бұл ауғанстанд толығ жою керек он ресей америка құра штат да жасай алад біріншід екіншід жер учас екі ел де маңызд ,0.95
тұр жедел армияс құру қажет түрік елдері ,0.9946785225718194
орыс құл сіз ілінбей бе қазақ мазақ жануар ресей үш би болғ кез ештеңе жақс емес 30 жылдағ жарық жемі орыстарм бар қар қатынастард тоқтату керек ердоғанм келісу керек қорқыт ата ,1.0
ауғанстандағ бала қару жарақп туад жә қару жарақп өле англо ауғ соғыс отар соғыс ксро ға қарс соғыс америк ауғ соғыс ха рух бұзбау керек талиб мүмк беру керек би болд ,0.99
орыс әри кішкентай кәпір деп ойлайд дей ,1.0
талиб папас қалай алу болад сұрақ ,0.9194529914529913
